evidence_id,item_id,source_url,file_path,evidence_type,claim_supported,excerpt,analyst_interpretation,reliability,collected_at
ev_anthropic_001,anthropic_skills_repo,https://raw.githubusercontent.com/anthropics/skills/main/README.md,README.md,readme,仓库定义了Skill结构和用途,"Skills are folders ... instructions scripts and resources",说明Skill是可组合工程单元,high,2026-04-26
ev_anthropic_002,anthropic_skills_repo,https://raw.githubusercontent.com/anthropics/skills/main/README.md,README.md,readme,每个Skill有SKILL.md元数据,"Each skill is self-contained ... with a SKILL.md",可作为内部标准字段与目录结构参考,high,2026-04-26
ev_anthropic_003,anthropic_skills_repo,https://raw.githubusercontent.com/anthropics/skills/main/README.md,README.md,readme,文档技能含source-available限制,"docx pdf pptx xlsx ... source-available not open source",涉及license风险需内部法务复核,high,2026-04-26
ev_anthropic_004,anthropic_skill_creator,https://raw.githubusercontent.com/anthropics/skills/main/skills/skill-creator/SKILL.md,skills/skill-creator/SKILL.md,skill_md,skill-creator强调迭代评测,"write draft run evals benchmark and rewrite",方法适合构建内部skill工厂流程,high,2026-04-26
ev_anthropic_005,anthropic_skill_creator,https://raw.githubusercontent.com/anthropics/skills/main/skills/skill-creator/SKILL.md,skills/skill-creator/SKILL.md,skill_md,包含描述优化与触发优化,"run skill description improver",可用于提升Skill触发准确率,high,2026-04-26
ev_anthropic_006,anthropic_pdf_skill,https://raw.githubusercontent.com/anthropics/skills/main/skills/pdf/SKILL.md,skills/pdf/SKILL.md,skill_md,PDF技能覆盖文档处理广泛,"extract text tables merge split forms OCR",采购评审文档处理可复用,high,2026-04-26
ev_anthropic_007,anthropic_xlsx_skill,https://raw.githubusercontent.com/anthropics/skills/main/skills/xlsx/SKILL.md,skills/xlsx/SKILL.md,skill_md,XLSX技能强调财务模型质量,"ZERO formula errors and formatting standards",可作为TCO分析输出质量门槛,high,2026-04-26
ev_w95_001,w95_repo,https://github.com/w95/awesome-claude-corporate-skills,README.md,repo_metadata,仓库覆盖采购供应链分类,"166 production-ready skills ... procurement & supply chain",有菜单广度但非采购专仓,medium,2026-04-26
ev_w95_002,w95_repo,https://github.com/w95/awesome-claude-corporate-skills,12-procurement-supply-chain,repo_metadata,存在独立采购目录,"12-procurement-supply-chain",可按目录拆分技能资产,high,2026-04-26
ev_w95_003,w95_rfp_builder,https://raw.githubusercontent.com/w95/awesome-claude-corporate-skills/main/12-procurement-supply-chain/rfp-builder/SKILL.md,12-procurement-supply-chain/rfp-builder/SKILL.md,skill_md,rfp-builder定义RFP结构,"Create Request for Proposals with requirements specifications",适合生成RFP初稿骨架,high,2026-04-26
ev_w95_004,w95_rfp_builder,https://raw.githubusercontent.com/w95/awesome-claude-corporate-skills/main/12-procurement-supply-chain/rfp-builder/SKILL.md,12-procurement-supply-chain/rfp-builder/SKILL.md,skill_md,包含评分和SLA模板,"Evaluation Criteria & Scoring ... Service Level Agreement",利于统一评标字段与SLA条款,high,2026-04-26
ev_w95_005,w95_vendor_evaluation,https://raw.githubusercontent.com/w95/awesome-claude-corporate-skills/main/12-procurement-supply-chain/vendor-evaluation/SKILL.md,12-procurement-supply-chain/vendor-evaluation/SKILL.md,skill_md,供应商比较与TCO框架,"comparison matrices TCO analysis risk assessment",可直接映射proposal_evaluation与tco_pricing,high,2026-04-26
ev_w95_006,w95_contract_negotiation,https://raw.githubusercontent.com/w95/awesome-claude-corporate-skills/main/12-procurement-supply-chain/contract-negotiation/SKILL.md,12-procurement-supply-chain/contract-negotiation/SKILL.md,skill_md,谈判Skill包含BATNA,"BATNA ... reservation price target",契合谈判准备技能定义,high,2026-04-26
ev_w95_007,w95_supplier_scorecard,https://raw.githubusercontent.com/w95/awesome-claude-corporate-skills/main/12-procurement-supply-chain/supplier-scorecard/SKILL.md,12-procurement-supply-chain/supplier-scorecard/SKILL.md,skill_md,评分卡包含KPI维度,"quality delivery cost service compliance metrics",可映射supplier_performance,high,2026-04-26
ev_w95_008,w95_inventory_forecasting,https://raw.githubusercontent.com/w95/awesome-claude-corporate-skills/main/12-procurement-supply-chain/inventory-forecasting/SKILL.md,12-procurement-supply-chain/inventory-forecasting/SKILL.md,skill_md,库存预测偏供应链,"safety stock reorder point seasonal adjustment",与间接采购主链相关性有限,high,2026-04-26
ev_w95_009,w95_vendor_management,https://raw.githubusercontent.com/w95/awesome-claude-corporate-skills/main/12-procurement-supply-chain/vendor-management/SKILL.md,12-procurement-supply-chain/vendor-management/SKILL.md,skill_md,vendor-management为轻量模板,"help evaluate compare and manage vendor relationships",可做入门模板但需补证据链,high,2026-04-26
ev_evos_001,ai_evos_repo,https://raw.githubusercontent.com/ai-evos/agent-skills/main/README.md,README.md,readme,ai-evos强调专家经验编码,"codified from domain experts ... edge cases escalation",有助于构建专家型skill写法,high,2026-04-26
ev_evos_002,ai_evos_repo,https://raw.githubusercontent.com/ai-evos/agent-skills/main/README.md,README.md,readme,包含能力评测分数,"Eval Verified 201 scenarios ... Avg Score 93.2%",展示了能力评测意识和量化提升,medium,2026-04-26
ev_evos_003,ai_evos_energy_procurement,https://raw.githubusercontent.com/ai-evos/agent-skills/main/README.md,README.md,readme,存在能源采购能力条目,"Energy Procurement ... Tariff optimisation PPA evaluation",适合能源品类专家技能参考,medium,2026-04-26
ev_buyer_001,buyer_eval_skill,https://raw.githubusercontent.com/salespeak-ai/buyer-eval-skill/main/SKILL.md,SKILL.md,skill_md,buyer-eval定位于B2B软件采购评估,"Structured B2B software vendor evaluation",与间接采购SaaS评标高度相关,high,2026-04-26
ev_buyer_002,buyer_eval_skill,https://raw.githubusercontent.com/salespeak-ai/buyer-eval-skill/main/SKILL.md,SKILL.md,skill_md,强调证据透明评分,"scores vendors across 7 dimensions ... evidence transparency",可用于内部评分卡可解释性设计,high,2026-04-26
ev_buyer_003,buyer_eval_skill,https://raw.githubusercontent.com/salespeak-ai/buyer-eval-skill/main/LICENSE,LICENSE,license,license为MIT,"MIT License",商用改造风险相对低,high,2026-04-26
ev_rfpan_001,ai_powered_rfp_analyzer,https://raw.githubusercontent.com/aadrikasingh/AI-Powered-RFP-Analyzer/main/README.md,README.md,readme,项目是采购方评标多Agent,"multi-agent accelerator ... evaluation of RFPs and proposals",适合作为评标Agent架构参考,high,2026-04-26
ev_rfpan_002,ai_powered_rfp_analyzer,https://raw.githubusercontent.com/aadrikasingh/AI-Powered-RFP-Analyzer/main/README.md,README.md,readme,含合规评分Agent,"Compliance scoring agent ... score 1-10",可映射proposal_evaluation,high,2026-04-26
ev_rfpan_003,ai_powered_rfp_analyzer,https://raw.githubusercontent.com/aadrikasingh/AI-Powered-RFP-Analyzer/main/README.md,README.md,readme,含法律风险Agent,"Legal & Regulatory Risk Assessment Agent",可映射contract_review,high,2026-04-26
ev_ms_001,microsoft_rfp_response_accel,https://raw.githubusercontent.com/microsoft/agent-for-rfp-response-solution-accelerator/main/README.md,README.md,readme,仓库不再维护,"This repository is no longer maintained",成熟度与持续性风险高,high,2026-04-26
ev_ms_002,microsoft_rfp_response_accel,https://raw.githubusercontent.com/microsoft/agent-for-rfp-response-solution-accelerator/main/README.md,README.md,readme,偏RFP响应而非采购评标,"create draft RFP response documents",更偏供应商侧工作流,high,2026-04-26
ev_ms_003,microsoft_rfp_response_accel,https://raw.githubusercontent.com/microsoft/agent-for-rfp-response-solution-accelerator/main/README.md,README.md,readme,明确非生产方案,"not intended to be a production ready solution",不应宣称可直接生产,high,2026-04-26
ev_autorfp_001,run_llama_auto_rfp,https://raw.githubusercontent.com/run-llama/auto_rfp/main/README.md,README.md,readme,auto_rfp强调问题抽取与响应生成,"extracting questions ... generating contextual responses",适合作为RFP问答自动化参考,high,2026-04-26
ev_autorfp_002,run_llama_auto_rfp,https://raw.githubusercontent.com/run-llama/auto_rfp/main/README.md,README.md,readme,包含source attribution,"Source Attribution: Track and cite sources",可借鉴证据回溯设计,high,2026-04-26
ev_erp_001,erpnext_core,https://raw.githubusercontent.com/frappe/erpnext/develop/README.md,README.md,readme,ERPNext是ERP系统而非Skill,"ERPNext 100% Open-Source ERP System",适合流程与对象建模参考,high,2026-04-26
ev_erp_002,erpnext_core,https://raw.githubusercontent.com/frappe/erpnext/develop/license.txt,license.txt,license,ERPNext license为GPLv3,"GNU GENERAL PUBLIC LICENSE Version 3",商用集成与衍生需法务评估,high,2026-04-26
ev_oca_001,oca_purchase_workflow,https://raw.githubusercontent.com/OCA/purchase-workflow/18.0/README.md,README.md,readme,OCA仓库包含大量采购流程addon,"purchase_blanket_order ... purchase_request",可参考流程扩展粒度,high,2026-04-26
ev_oca_002,oca_purchase_workflow,https://github.com/OCA/purchase-workflow,repo listing,repo_metadata,包含tier validation/work acceptance等模块,"purchase_tier_validation ... purchase_work_acceptance",适合guided_buying与验收流程设计,medium,2026-04-26
ev_chain_001,chaincommand,https://raw.githubusercontent.com/hsinnearth7/ChainCommand/master/README.md,README.md,readme,ChainCommand定位供应链优化平台,"CP-SAT Optimization RL Inventory BOM CTB",主要是算法/运营系统非间接采购Skill,high,2026-04-26
ev_chain_002,chaincommand,https://raw.githubusercontent.com/hsinnearth7/ChainCommand/master/LICENSE,LICENSE,license,ChainCommand采用MIT,"MIT License",许可风险较低但业务适配成本高,high,2026-04-26
