item_id,name,source_type,source_url,repo,file_path,license,stars,forks,last_updated,procurement_stages,categories,input_types,output_types,summary_cn,key_takeaways,risks,recommended_action,business_relevance_score,ai_native_score,implementation_reuse_score,maturity_score,documentation_quality_score,adaptation_cost_score,license_risk_score,overall_value_score,evidence_ids,analyst_notes,collected_at
anthropic_skills_repo,Anthropic Skills 仓库总览,agent_skill,https://github.com/anthropics/skills,anthropics/skills,README.md,mixed_apache2_plus_proprietary,124k,14.5k,unknown,intake_sow;rfx_builder;proposal_evaluation;contract_review,general,docx;pdf;xlsx;pptx,structured_document;analysis_output,官方Skill结构与SKILL.md组织方式最具工程底座价值,Skill文件夹+SKILL.md元数据结构清晰;插件安装与调用路径明确,采购垂直内容少;含source-available非完全开源文档技能,adopt,4,5,5,5,5,4,3,5,ev_anthropic_001|ev_anthropic_002|ev_anthropic_003,建议作为内部Skill工程模板基线,2026-04-26
anthropic_skill_creator,Anthropic skill-creator,agent_skill,https://github.com/anthropics/skills/blob/main/skills/skill-creator/SKILL.md,anthropics/skills,skills/skill-creator/SKILL.md,Apache-2.0,124k,14.5k,unknown,category_specialist,general,skill_spec;test_prompts,improved_skill;eval_plan,强调迭代评测与触发描述优化的方法论,可直接迁移“先评测再迭代”工作流;适合内部skill工厂,不含采购域知识,adopt,3,5,5,5,5,5,4,4,ev_anthropic_004|ev_anthropic_005,更适合平台层而非业务层,2026-04-26
anthropic_pdf_skill,Anthropic PDF Skill,agent_skill,https://github.com/anthropics/skills/tree/main/skills/pdf,anthropics/skills,skills/pdf/SKILL.md,proprietary,124k,14.5k,unknown,rfx_builder;proposal_evaluation;contract_review,general,pdf,parsed_text;tables;forms,采购文档处理能力强可作为文档工程组件参考,覆盖提取/合并/表单/OCR等常见采购文档任务,license为proprietary需审查,adapt,4,5,4,4,4,3,2,4,ev_anthropic_006,建议内化为自有文档工具链,2026-04-26
anthropic_xlsx_skill,Anthropic XLSX Skill,agent_skill,https://github.com/anthropics/skills/tree/main/skills/xlsx,anthropics/skills,skills/xlsx/SKILL.md,proprietary,124k,14.5k,unknown,spend_analysis;tco_pricing,general,xlsx;csv;tsv,clean_sheet;financial_model,可用于支出分析与报价比较输出规范化,对财务模型格式和错误控制要求详细,license非开源且需匹配内部模板,adapt,4,5,4,4,4,3,2,4,ev_anthropic_007,适合作为TCO输出规范参考,2026-04-26
w95_repo,w95 corporate skills 仓库总览,agent_skill,https://github.com/w95/awesome-claude-corporate-skills,w95/awesome-claude-corporate-skills,README.md,MIT,16,5,unknown,rfx_builder;proposal_evaluation;negotiation;supplier_performance;category_specialist,indirect_procurement;general,rfp;proposal;contract,templates;matrix;playbook,覆盖采购供应链多个Skill模板但深度有限,采购目录完整便于快速建菜单;SKILL.md可直接借鉴,大量内容为模板文本且验证深度不足,adapt,4,4,4,2,3,4,5,4,ev_w95_001|ev_w95_002,适合v0.1原型而非直接生产,2026-04-26
w95_rfp_builder,w95 rfp-builder,prompt_template,https://github.com/w95/awesome-claude-corporate-skills/tree/main/12-procurement-supply-chain/rfp-builder,w95/awesome-claude-corporate-skills,12-procurement-supply-chain/rfp-builder/SKILL.md,MIT,16,5,unknown,rfx_builder;intake_sow,indirect_procurement;general,sow;requirements,rfp_document;scoring_rubric,提供RFP结构/评分/SLA/时间线模板,能快速形成标准RFP初稿,缺少企业制度绑定和自动评测,adapt,5,3,4,2,3,5,5,4,ev_w95_003|ev_w95_004,第一阶段可直接改写成本地模板,2026-04-26
w95_vendor_evaluation,w95 vendor-evaluation,prompt_template,https://github.com/w95/awesome-claude-corporate-skills/tree/main/12-procurement-supply-chain/vendor-evaluation,w95/awesome-claude-corporate-skills,12-procurement-supply-chain/vendor-evaluation/SKILL.md,MIT,16,5,unknown,proposal_evaluation;tco_pricing,saaS;indirect_procurement,proposal;pricing,tco_matrix;risk_matrix,覆盖比较矩阵与TCO框架,适合构建评标矩阵v0.1,以静态模板为主缺少数据接口,adapt,5,3,4,2,3,5,5,4,ev_w95_005,可与buyer-eval组合,2026-04-26
w95_contract_negotiation,w95 contract-negotiation,prompt_template,https://github.com/w95/awesome-claude-corporate-skills/tree/main/12-procurement-supply-chain/contract-negotiation,w95/awesome-claude-corporate-skills,12-procurement-supply-chain/contract-negotiation/SKILL.md,MIT,16,5,unknown,negotiation;contract_review,indirect_procurement,contract;pricing,batna_plan;negotiation_brief,BATNA与让步顺序模板实用,可直接沉淀谈判准备清单,无法替代法务/采购经理判断,adapt,5,3,4,2,3,5,5,4,ev_w95_006,适合tco-negotiation-prep技能,2026-04-26
w95_supplier_scorecard,w95 supplier-scorecard,prompt_template,https://github.com/w95/awesome-claude-corporate-skills/tree/main/12-procurement-supply-chain/supplier-scorecard,w95/awesome-claude-corporate-skills,12-procurement-supply-chain/supplier-scorecard/SKILL.md,MIT,16,5,unknown,supplier_performance,indirect_procurement,service_reports;sla,scorecard;qbr_material,供应商KPI框架完整,可快速搭建续约评审模板,缺真实数据接入与口径治理,adapt,5,3,4,2,3,4,5,4,ev_w95_007,需接内部SLA数据才有生产价值,2026-04-26
w95_inventory_forecasting,w95 inventory-forecasting,prompt_template,https://github.com/w95/awesome-claude-corporate-skills/tree/main/12-procurement-supply-chain/inventory-forecasting,w95/awesome-claude-corporate-skills,12-procurement-supply-chain/inventory-forecasting/SKILL.md,MIT,16,5,unknown,spend_analysis;category_specialist,logistics;mro,demand_history,forecast_table,偏供应链库存预测,可供后续直接采购/物流阶段参考,与间接采购核心链路相关性中等,reference,3,3,3,2,3,3,5,3,ev_w95_008,可进入第二轮,2026-04-26
w95_vendor_management,w95 vendor-management,prompt_template,https://github.com/w95/awesome-claude-corporate-skills/tree/main/12-procurement-supply-chain/vendor-management,w95/awesome-claude-corporate-skills,12-procurement-supply-chain/vendor-management/SKILL.md,MIT,16,5,unknown,supplier_discovery;supplier_performance,indirect_procurement,supplier_profile,recommendation,轻量供应商管理提示模板,对评估维度归纳清晰,内容短且工程化不足,watch,4,2,3,1,2,5,5,3,ev_w95_009,适合与buyer-eval整合,2026-04-26
ai_evos_repo,ai-evos capabilities 总览,agent_skill,https://github.com/ai-evos/agent-skills,ai-evos/agent-skills,README.md,Apache-2.0,unknown,unknown,unknown,category_specialist;supplier_performance;tco_pricing,logistics;energy;manufacturing,ops_scenarios,kpi_guidance;decision_protocol,强调专家经验编码与评测提升,提供edge-case/escalation风格可借鉴,偏供应链运营非间接采购主链,adapt,3,5,4,3,4,3,4,4,ev_evos_001|ev_evos_002,适合打造品类专家技能模板,2026-04-26
ai_evos_energy_procurement,ai-evos energy-procurement,agent_skill,https://github.com/ai-evos/agent-skills/tree/main/capabilities/energy-procurement,ai-evos/agent-skills,capabilities/energy-procurement,Apache-2.0,unknown,unknown,unknown,category_specialist;tco_pricing,energy,tariff;ppa,procurement_analysis,能源采购场景专业度高,展示高风险场景知识编码,与通用间接采购差异较大,reference,3,5,3,3,4,2,4,3,ev_evos_003,可作为能源专项二期输入,2026-04-26
